시리즈,선형번호,전저항_Rt/Δ×10³,레이놀즈수_Rn,프루드수_Fn,주형계수_Cp,중앙단면계수_Cm,방형계수_Cb,수선면계수_Cw,길이폭비_L/B,폭흘수비_B/T,길이흘수비_L/T,세장비_L/∇^(1/3),부심위치_LCB/L,부면심위치_LCF/L,LCB/LCF,침수면적비_S/∇^(2/3),수선면적비_Aw/∇^(2/3),S/Aw,S/Ax,Ax/Aw
Delft,Delft-3,140.5023418,59292124.51,0.600431449,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
Delft,Delft-3,150.5692794,64287139.54,0.65101429,0.571554043,0.646673395,0.369608793,0.694780162,2.747252675,5.345080853,14.68428767,4.778993042,-0.023,-0.033199999,0.69277112,6.249375267,5.775925742,1.081969462,17.06987352,0.063384738
Delft,Delft-4,0.405858591,9870388.981,0.099954117,0.567669204,0.646352692,0.366914518,0.691192394,3.50877198,3.947368407,13.85041566,5.097427046,-0.022899999,-0.033299999,0.687687685,5.896750782,5.11853694,1.152038337,17.06314678,0.067516171
Delft,Delft-4,0.91994614,14805583.47,0.149931176,0.567669204,0.646352692,0.366914518,0.691192394,3.50877198,3.947368407,13.85041566,5.097427046,-0.022899999,-0.033299999,0.687687685,5.896750782,5.11853694,1.152038337,17.06314678,0.067516171
Delft,Delft-4,2.178107772,19740777.96,0.199908234,0.567669204,0.646352692,0.366914518,0.691192394,3.50877198,3.947368407,13.85041566,5.097427046,-0.022899999,-0.033299999,0.687687685,5.896750782,5.11853694,1.152038337,17.06314678,0.067516171
Delft,Delft-4,3.706841799,24675972.45,0.249885293,0.567669204,0.646352692,0.366914518,0.691192394,3.50877198,3.947368407,13.85041566,5.097427046,-0.022899999,-0.033299999,0.687687685,5.896750782,5.11853694,1.152038337,17.06314678,0.067516171
Delft,Delft-4,6.412565739,29641077.21,0.300165243,0.567669204,0.646352692,0.366914518,0.691192394,3.50877198,3.947368407,13.85041566,5.097427046,-0.022899999,-0.033299999,0.687687685,5.896750782,5.11853694,1.152038337,17.06314678,0.067516171
Delft,Delft-4,10.89053886,34576271.7,0.350142301,0.567669204,0.646352692,0.366914518,0.691192394,3.50877198,3.947368407,13.85041566,5.097427046,-0.022899999,-0.033299999,0.687687685,5.896750782,5.11853694,1.152038337,17.06314678,0.067516171
Delft,Delft-4,23.59391276,39501496.1,0.400018396,0.567669204,0.646352692,0.366914518,0.691192394,3.50877198,3.947368407,13.85041566,5.097427046,-0.022899999,-0.033299999,0.687687685,5.896750782,5.11853694,1.152038337,17.06314678,0.067516171
Delft,Delft-4,47.49898378,44436690.59,0.449995455,0.567669204,0.646352692,0.366914518,0.691192394,3.50877198,3.947368407,13.85041566,5.097427046,-0.022899999,-0.033299999,0.687687685,5.896750782,5.11853694,1.152038337,17.06314678,0.067516171
Delft,Delft-4,80.60351619,49381855.17,0.500073477,0.567669204,0.646352692,0.366914518,0.691192394,3.50877198,3.947368407,13.85041566,5.097427046,-0.022899999,-0.033299999,0.687687685,5.896750782,5.11853694,1.152038337,17.06314678,0.067516171
Delft,Delft-4,107.2684256,54307079.57,0.549949572,0.567669204,0.646352692,0.366914518,0.691192394,3.50877198,3.947368407,13.85041566,5.097427046,-0.022899999,-0.033299999,0.687687685,5.896750782,5.11853694,1.152038337,17.06314678,0.067516171
Delft,Delft-4,123.9492137,59242274.06,0.599926631,0.567669204,0.646352692,0.366914518,0.691192394,3.50877198,3.947368407,13.85041566,5.097427046,-0.022899999,-0.033299999,0.687687685,5.896750782,5.11853694,1.152038337,17.06314678,0.067516171
Delft,Delft-5,0.312358075,9870388.981,0.099954117,0.558845197,0.64650021,0.361293537,0.683324383,2.747252675,3.956521814,10.86956514,4.35595643,-0.024099999,-0.0343,0.702623886,5.438242885,4.71949323,1.152293821,13.23834363,0.087042145
Delft,Delft-5,0.979284775,14805583.47,0.149931176,0.558845197,0.64650021,0.361293537,0.683324383,2.747252675,3.956521814,10.86956514,4.35595643,-0.024099999,-0.0343,0.702623886,5.438242885,4.71949323,1.152293821,13.23834363,0.087042145
Delft,Delft-5,1.815053678,19740777.96,0.199908234,0.558845197,0.64650021,0.361293537,0.683324383,2.747252675,3.956521814,10.86956514,4.35595643,-0.024099999,-0.0343,0.702623886,5.438242885,4.71949323,1.152293821,13.23834363,0.087042145
Delft,Delft-5,3.368401941,24675972.45,0.249885293,0.558845197,0.64650021,0.361293537,0.683324383,2.747252675,3.956521814,10.86956514,4.35595643,-0.024099999,-0.0343,0.702623886,5.438242885,4.71949323,1.152293821,13.23834363,0.087042145
Delft,Delft-5,5.841940209,29641077.21,0.300165243,0.558845197,0.64650021,0.361293537,0.683324383,2.747252675,3.956521814,10.86956514,4.35595643,-0.024099999,-0.0343,0.702623886,5.438242885,4.71949323,1.152293821,13.23834363,0.087042145
Delft,Delft-5,10.18118481,34576271.7,0.350142301,0.558845197,0.64650021,0.361293537,0.683324383,2.747252675,3.956521814,10.86956514,4.35595643,-0.024099999,-0.0343,0.702623886,5.438242885,4.71949323,1.152293821,13.23834363,0.087042145
Delft,Delft-5,23.40997139,39501496.1,0.400018396,0.558845197,0.64650021,0.361293537,0.683324383,2.747252675,3.956521814,10.86956514,4.35595643,-0.024099999,-0.0343,0.702623886,5.438242885,4.71949323,1.152293821,13.23834363,0.087042145
Delft,Delft-5,50.47537646,44436690.59,0.449995455,0.558845197,0.64650021,0.361293537,0.683324383,2.747252675,3.956521814,10.86956514,4.35595643,-0.024099999,-0.0343,0.702623886,5.438242885,4.71949323,1.152293821,13.23834363,0.087042145
Delft,Delft-5,93.87626463,49381855.17,0.500073477,0.558845197,0.64650021,0.361293537,0.683324383,2.747252675,3.956521814,10.86956514,4.35595643,-0.024099999,-0.0343,0.702623886,5.438242885,4.71949323,1.152293821,13.23834363,0.087042145
Delft,Delft-5,139.5396383,54307079.57,0.549949572,0.558845197,0.64650021,0.361293537,0.683324383,2.747252675,3.956521814,10.86956514,4.35595643,-0.024099999,-0.0343,0.702623886,5.438242885,4.71949323,1.152293821,13.23834363,0.087042145
Delft,Delft-5,162.6879043,59242274.06,0.599926631,0.558845197,0.64650021,0.361293537,0.683324383,2.747252675,3.956521814,10.86956514,4.35595643,-0.024099999,-0.0343,0.702623886,5.438242885,4.71949323,1.152293821,13.23834363,0.087042145
Delft,Delft-6,0.191931918,9870388.981,0.099954117,0.561467448,0.646331918,0.362894333,0.685426078,3.154574163,2.979323326,9.398496387,4.339166466,-0.024000001,-0.034199999,0.701754427,5.147299934,4.091028502,1.258192147,12.54037055,0.100331337
Delft,Delft-6,0.901245527,14805583.47,0.149931176,0.561467448,0.646331918,0.362894333,0.685426078,3.154574163,2.979323326,9.398496387,4.339166466,-0.024000001,-0.034199999,0.701754427,5.147299934,4.091028502,1.258192147,12.54037055,0.100331337
Delft,Delft-6,1.844215384,19740777.96,0.199908234,0.561467448,0.646331918,0.362894333,0.685426078,3.154574163,2.979323326,9.398496387,4.339166466,-0.024000001,-0.034199999,0.701754427,5.147299934,4.091028502,1.258192147,12.54037055,0.100331337
Delft,Delft-6,3.221118272,24675972.45,0.249885293,0.561467448,0.646331918,0.362894333,0.685426078,3.154574163,2.979323326,9.398496387,4.339166466,-0.024000001,-0.034199999,0.701754427,5.147299934,4.091028502,1.258192147,12.54037055,0.100331337
Delft,Delft-6,5.7412678,29661017.39,0.30036717,0.561467448,0.646331918,0.362894333,0.685426078,3.154574163,2.979323326,9.398496387,4.339166466,-0.024000001,-0.034199999,0.701754427,5.147299934,4.091028502,1.258192147,12.54037055,0.100331337
Delft,Delft-6,9.688389413,34675972.6,0.351151939,0.561467448,0.646331918,0.362894333,0.685426078,3.154574163,2.979323326,9.398496387,4.339166466,-0.024000001,-0.034199999,0.701754427,5.147299934,4.091028502,1.258192147,12.54037055,0.100331337
Delft,Delft-6,24.27521516,39631107.27,0.401330925,0.561467448,0.646331918,0.362894333,0.685426078,3.154574163,2.979323326,9.398496387,4.339166466,-0.024000001,-0.034199999,0.701754427,5.147299934,4.091028502,1.258192147,12.54037055,0.100331337
Delft,Delft-6,55.93563672,44366899.96,0.449288708,0.561467448,0.646331918,0.362894333,0.685426078,3.154574163,2.979323326,9.398496387,4.339166466,-0.024000001,-0.034199999,0.701754427,5.147299934,4.091028502,1.258192147,12.54037055,0.100331337
Delft,Delft-6,103.1926128,49381855.17,0.500073477,0.561467448,0.646331918,0.362894333,0.685426078,3.154574163,2.979323326,9.398496387,4.339166466,-0.024000001,-0.034199999,0.701754427,5.147299934,4.091028502,1.258192147,12.54037055,0.100331337
Delft,Delft-6,151.9933891,54366900.11,0.550555354,0.561467448,0.646331918,0.362894333,0.685426078,3.154574163,2.979323326,9.398496387,4.339166466,-0.024000001,-0.034199999,0.701754427,5.147299934,4.091028502,1.258192147,12.54037055,0.100331337
Delft,Delft-6,179.9486902,59341974.96,0.600936268,0.561467448,0.646331918,0.362894333,0.685426078,3.154574163,2.979323326,9.398496387,4.339166466,-0.024000001,-0.034199999,0.701754427,5.147299934,4.091028502,1.258192147,12.54037055,0.100331337
